request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_172,10200,affordable_now,full_payment,2024-06-05:10200,2024-06-05,none,Balance comfortably covers the full ZAR 10200 on 2024-06-05 while keeping at least ZAR 27200 after all projected essentials.
request_173,75150.53,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Installment option payment_option_491 (3 payments of INR 39173.33 starting 2025-11-21) keeps the balance above INR 79100 and completes by 2026-01-16, adding 9039.98 in financing cost."
request_174,1146.2,affordable_now,full_payment,2026-04-04:1146.2,2026-04-04,none,Balance comfortably covers the full EUR 1146.2 on 2026-04-04 while keeping at least EUR 700 after all projected essentials.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Balance comfortably covers the full EUR 2346.3 on 2024-09-06 while keeping at least EUR 1700 after all projected essentials.
request_176,521.47,not_affordable,not_recommended,none,,none,Requested EUR 1239.7 cannot be paid within the forecast window without breaking the minimum balance of EUR 600; safe amount today is EUR 521.47.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Balance comfortably covers the full USD 1017.6 on 2026-01-05 while keeping at least USD 1300 after all projected essentials.
request_178,2938.1,affordable_now,full_payment,2024-12-07:2938.1,2024-12-07,none,Balance comfortably covers the full EUR 2938.1 on 2024-12-07 while keeping at least EUR 1400 after all projected essentials.
request_179,14486034.27,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,"Paying in full today would drop the balance below the required IDR 41430800. The first safe full-payment date is 2025-06-15, before the deadline of 2025-07-15."
request_180,0,not_affordable,not_recommended,none,,none,Requested INR 66500 cannot be paid within the forecast window without breaking the minimum balance of INR 37300; safe amount today is INR 0.
request_181,716.78,not_affordable,not_recommended,none,,none,Requested USD 5059.2 cannot be paid within the forecast window without breaking the minimum balance of USD 2000; safe amount today is USD 716.78.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Balance comfortably covers the full ZAR 65714 on 2025-08-05 while keeping at least ZAR 31100 after all projected essentials.
request_183,26536508.21,affordable_with_plan,full_payment,2026-04-07:26866000,2026-04-07,stop:event_16814,Balance comfortably covers the full IDR 26866000 on 2026-04-07 while keeping at least IDR 11878300 after all projected essentials. This requires spending changes: stop event_16814.
request_184,29370.1,not_affordable,not_recommended,none,,none,Requested INR 251900 cannot be paid within the forecast window without breaking the minimum balance of INR 110800; safe amount today is INR 29370.1.
request_185,551.49,affordable_later,wait,2025-11-15:1257.3,2025-11-15,none,"Paying in full today would drop the balance below the required EUR 1300. The first safe full-payment date is 2025-11-15, before the deadline of 2026-01-15."
request_186,11913.72,affordable_later,wait,2026-01-15:26554,2026-01-15,none,"Paying in full today would drop the balance below the required ZAR 22000. The first safe full-payment date is 2026-01-15, before the deadline of 2026-03-15."
request_187,45292.66,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Paying in full today would drop the balance below the required INR 128300. The first safe full-payment date is 2024-10-15, before the deadline of 2024-11-15."
request_188,238.3,not_affordable,not_recommended,none,,none,Requested EUR 2464 cannot be paid within the forecast window without breaking the minimum balance of EUR 900; safe amount today is EUR 238.3.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Balance comfortably covers the full EUR 488.4 on 2026-07-04 while keeping at least EUR 400 after all projected essentials.
request_190,893.97,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,"Paying in full today would drop the balance below the required EUR 1600. The first safe full-payment date is 2024-12-15, before the deadline of 2025-02-15."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Balance comfortably covers the full EUR 664.4 on 2025-05-03 while keeping at least EUR 500 after all projected essentials.
request_192,264.77,not_affordable,not_recommended,none,,none,Requested USD 2046 cannot be paid within the forecast window without breaking the minimum balance of USD 1000; safe amount today is USD 264.77.
request_193,243.62,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Installment option payment_option_549 (3 payments of EUR 420.23 starting 2024-03-21) keeps the balance above EUR 1000 and completes by 2024-05-22, adding 96.98 in financing cost."
request_194,56319.94,affordable_later,wait,2025-09-15:132800,2025-09-15,none,"Paying in full today would drop the balance below the required INR 113600. The first safe full-payment date is 2025-09-15, before the deadline of 2025-10-23."
request_195,1170.4,affordable_now,full_payment,2026-01-06:1170.4,2026-01-06,none,Balance comfortably covers the full EUR 1170.4 on 2026-01-06 while keeping at least EUR 700 after all projected essentials.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Balance comfortably covers the full EUR 762.3 on 2024-06-03 while keeping at least EUR 500 after all projected essentials.
request_197,0,not_affordable,not_recommended,none,,none,Requested IDR 50939000 cannot be paid within the forecast window without breaking the minimum balance of IDR 26245900; safe amount today is IDR 0.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Balance comfortably covers the full INR 185800 on 2026-07-07 while keeping at least INR 124300 after all projected essentials.
request_199,23674000,affordable_now,full_payment,2024-09-04:23674000,2024-09-04,none,Balance comfortably covers the full IDR 23674000 on 2024-09-04 while keeping at least IDR 25359500 after all projected essentials.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Balance comfortably covers the full IDR 21717000 on 2025-02-06 while keeping at least IDR 20114600 after all projected essentials.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Balance comfortably covers the full IDR 23997000 on 2026-04-03 while keeping at least IDR 17304500 after all projected essentials.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Balance comfortably covers the full INR 123900 on 2024-12-05 while keeping at least INR 147800 after all projected essentials.
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.1,2025-05-07,none,Balance comfortably covers the full EUR 1442.1 on 2025-05-07 while keeping at least EUR 1400 after all projected essentials.
request_204,0,not_affordable,not_recommended,none,,none,Requested EUR 588.74 cannot be paid within the forecast window without breaking the minimum balance of EUR 1300; safe amount today is EUR 0.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Balance comfortably covers the full IDR 10621000 on 2024-03-06 while keeping at least IDR 13994300 after all projected essentials.
request_206,1404.7,affordable_now,full_payment,2025-08-03:1404.7,2025-08-03,none,Balance comfortably covers the full EUR 1404.7 on 2025-08-03 while keeping at least EUR 900 after all projected essentials.
request_207,8203.71,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Paying in full today would drop the balance below the required ZAR 13600. The first safe full-payment date is 2026-07-15, before the deadline of 2026-07-24."
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Balance comfortably covers the full IDR 4413000 on 2024-06-07 while keeping at least IDR 10470700 after all projected essentials.
request_209,4760.11,not_affordable,not_recommended,none,,none,Requested ZAR 56914 cannot be paid within the forecast window without breaking the minimum balance of ZAR 18400; safe amount today is ZAR 4760.11.
request_210,1115.68,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,"Installment option payment_option_603 (3 payments of USD 471.48 starting 2026-04-06) keeps the balance above USD 2000 and completes by 2026-06-01, adding 108.84 in financing cost."
request_211,578.08,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,"Paying in full today would drop the balance below the required EUR 1500. The first safe full-payment date is 2024-09-15, before the deadline of 2024-11-15."
request_212,11730627.58,not_affordable,not_recommended,none,,none,Requested IDR 71934000 cannot be paid within the forecast window without breaking the minimum balance of IDR 29579800; safe amount today is IDR 11730627.58.
request_213,3362.4,affordable_now,full_payment,2026-01-07:3362.4,2026-01-07,none,Balance comfortably covers the full USD 3362.4 on 2026-01-07 while keeping at least USD 2100 after all projected essentials.
request_214,69750,affordable_now,full_payment,2024-12-04:69750,2024-12-04,none,Balance comfortably covers the full INR 69750 on 2024-12-04 while keeping at least INR 174900 after all projected essentials.
request_215,29986,affordable_now,full_payment,2025-05-06:29986,2025-05-06,none,Balance comfortably covers the full ZAR 29986 on 2025-05-06 while keeping at least ZAR 15700 after all projected essentials.
request_216,830.67,affordable_later,wait,2026-08-15:3332.4,2026-08-15,none,"Paying in full today would drop the balance below the required USD 1800. The first safe full-payment date is 2026-08-15, before the deadline of 2026-09-15."
request_217,24671.85,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Installment option payment_option_622 (3 payments of ZAR 12889.07 starting 2024-03-19) keeps the balance above ZAR 26800 and completes by 2024-05-20, adding 2974.42 in financing cost."
request_218,29366064.34,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Installment option payment_option_625 (3 payments of IDR 21195893.33 starting 2025-08-07) keeps the balance above IDR 34477200 and completes by 2025-10-02, adding 4891359.98 in financing cost."
request_219,0,not_affordable,not_recommended,none,,none,Requested EUR 1673.1 cannot be paid within the forecast window without breaking the minimum balance of EUR 1100; safe amount today is EUR 0.
request_220,249.32,not_affordable,not_recommended,none,,none,Requested EUR 3118.5 cannot be paid within the forecast window without breaking the minimum balance of EUR 1100; safe amount today is EUR 249.32.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Balance comfortably covers the full INR 109800 on 2025-11-03 while keeping at least INR 81500 after all projected essentials.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Balance comfortably covers the full ZAR 34078 on 2026-01-05 while keeping at least ZAR 27300 after all projected essentials.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Balance comfortably covers the full EUR 898.7 on 2024-09-07 while keeping at least EUR 800 after all projected essentials.
request_224,10327000,affordable_now,full_payment,2025-02-04:10327000,2025-02-04,none,Balance comfortably covers the full IDR 10327000 on 2025-02-04 while keeping at least IDR 22187600 after all projected essentials.
request_225,13453117.97,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"Installment option payment_option_647 (3 payments of IDR 7647120 starting 2026-07-20) keeps the balance above IDR 17670700 and completes by 2026-09-18, adding 1764720 in financing cost."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Balance comfortably covers the full INR 157000 on 2024-12-03 while keeping at least INR 209400 after all projected essentials.
request_227,16231.55,not_affordable,not_recommended,none,,none,Requested INR 259700 cannot be paid within the forecast window without breaking the minimum balance of INR 62900; safe amount today is INR 16231.55.
request_228,0,not_affordable,not_recommended,none,,none,Requested IDR 63327000 cannot be paid within the forecast window without breaking the minimum balance of IDR 26191200; safe amount today is IDR 0.
request_229,599.43,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Installment option payment_option_659 (3 payments of EUR 529.29 starting 2024-03-18) keeps the balance above EUR 1000 and completes by 2024-05-19, adding 122.14 in financing cost."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Balance comfortably covers the full EUR 3537.6 on 2025-08-06 while keeping at least EUR 2000 after all projected essentials.
request_231,35706,affordable_now,full_payment,2026-01-03:35706,2026-01-03,none,Balance comfortably covers the full ZAR 35706 on 2026-01-03 while keeping at least ZAR 24300 after all projected essentials.
request_232,0,not_affordable,not_recommended,none,,none,Requested EUR 1970.1 cannot be paid within the forecast window without breaking the minimum balance of EUR 2400; safe amount today is EUR 0.
request_233,0,not_affordable,not_recommended,none,,none,Requested IDR 6241000 cannot be paid within the forecast window without breaking the minimum balance of IDR 10365700; safe amount today is IDR 0.
request_234,317.16,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,"Paying in full today would drop the balance below the required EUR 700. The first safe full-payment date is 2026-08-15, before the deadline of 2026-09-15."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Balance comfortably covers the full USD 967.2 on 2024-09-06 while keeping at least USD 700 after all projected essentials.
request_236,9314237.28,not_affordable,not_recommended,none,,none,Requested IDR 52383000 cannot be paid within the forecast window without breaking the minimum balance of IDR 16768600; safe amount today is IDR 9314237.28.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Balance comfortably covers the full IDR 23826000 on 2026-04-05 while keeping at least IDR 22431500 after all projected essentials.
request_238,663.6,affordable_now,full_payment,2024-12-07:663.6,2024-12-07,none,Balance comfortably covers the full USD 663.6 on 2024-12-07 while keeping at least USD 700 after all projected essentials.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Balance comfortably covers the full USD 642 on 2025-05-04 while keeping at least USD 600 after all projected essentials.
request_240,0,not_affordable,not_recommended,none,,none,Requested INR 101200 cannot be paid within the forecast window without breaking the minimum balance of INR 52800; safe amount today is INR 0.
request_241,21052000,affordable_now,full_payment,2024-03-03:21052000,2024-03-03,none,Balance comfortably covers the full IDR 21052000 on 2024-03-03 while keeping at least IDR 19252000 after all projected essentials.
request_242,0,not_affordable,not_recommended,none,,none,Requested EUR 1966.8 cannot be paid within the forecast window without breaking the minimum balance of EUR 600; safe amount today is EUR 0.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Balance comfortably covers the full ZAR 17468 on 2026-07-07 while keeping at least ZAR 19900 after all projected essentials.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Balance comfortably covers the full ZAR 49918 on 2024-06-04 while keeping at least ZAR 45900 after all projected essentials.
request_245,50188.52,affordable_later,wait,2025-11-15:128500,2025-11-15,none,"Paying in full today would drop the balance below the required INR 94600. The first safe full-payment date is 2025-11-15, before the deadline of 2026-01-15."
request_246,64086,affordable_now,full_payment,2026-04-03:64086,2026-04-03,none,Balance comfortably covers the full ZAR 64086 on 2026-04-03 while keeping at least ZAR 39300 after all projected essentials.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Balance comfortably covers the full EUR 1059.3 on 2024-09-05 while keeping at least EUR 1300 after all projected essentials.
request_248,1152.36,not_affordable,not_recommended,none,,none,Requested USD 1965.6 cannot be paid within the forecast window without breaking the minimum balance of USD 1300; safe amount today is USD 1152.36.
request_249,253.54,affordable_later,wait,2026-02-15:643.2,2026-02-15,none,"Paying in full today would drop the balance below the required USD 600. The first safe full-payment date is 2026-02-15, before the deadline of 2026-03-15."
request_250,17773.99,not_affordable,not_recommended,none,,none,Requested ZAR 124278 cannot be paid within the forecast window without breaking the minimum balance of ZAR 35300; safe amount today is ZAR 17773.99.
request_251,1513.6,affordable_now,full_payment,2025-05-03:1513.6,2025-05-03,none,Balance comfortably covers the full EUR 1513.6 on 2025-05-03 while keeping at least EUR 1300 after all projected essentials.
request_252,7117886.61,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Paying in full today would drop the balance below the required IDR 15152200. The first safe full-payment date is 2026-08-15, before the deadline of 2026-09-15."
request_253,1717.57,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-03-15,none,"Installment option payment_option_729 (3 payments of EUR 984.6 starting 2024-03-21) keeps the balance above EUR 2300 and completes by 2024-05-22, adding 227.2 in financing cost."
request_254,966.65,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,"Paying in full today would drop the balance below the required USD 2500. The first safe full-payment date is 2025-09-15, before the deadline of 2025-10-15."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Balance comfortably covers the full IDR 3345000 on 2026-04-06 while keeping at least IDR 9813900 after all projected essentials.
request_256,0,not_affordable,not_recommended,none,,none,Requested INR 218700 cannot be paid within the forecast window without breaking the minimum balance of INR 168600; safe amount today is INR 0.
request_257,812.58,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,"Paying in full today would drop the balance below the required USD 1600. The first safe full-payment date is 2025-11-15, before the deadline of 2026-01-15."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Balance comfortably covers the full USD 1113.6 on 2026-01-07 while keeping at least USD 500 after all projected essentials.
request_259,247.47,affordable_later,wait,2024-10-15:935,2024-10-15,none,"Paying in full today would drop the balance below the required EUR 600. The first safe full-payment date is 2024-10-15, before the deadline of 2024-11-15."
request_260,11812300,affordable_with_plan,partial_payment,2025-02-06:11812300|2025-02-15:40266700,2025-02-15,none,"Only IDR 11812300 is safe today; the remaining IDR 40266700 can be paid on 2025-02-15, completing before the deadline without touching the IDR 20727700 minimum."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Balance comfortably covers the full EUR 1830.4 on 2026-07-03 while keeping at least EUR 1500 after all projected essentials.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Balance comfortably covers the full IDR 9236000 on 2024-12-05 while keeping at least IDR 31018500 after all projected essentials.
request_263,10667.71,not_affordable,not_recommended,none,,none,Requested ZAR 51546 cannot be paid within the forecast window without breaking the minimum balance of ZAR 24100; safe amount today is ZAR 10667.71.
request_264,31258.87,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Paying in full today would drop the balance below the required INR 59500. The first safe full-payment date is 2026-05-15, before the deadline of 2026-06-15."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Balance comfortably covers the full INR 45970 on 2024-03-06 while keeping at least INR 189700 after all projected essentials.
request_266,904.7,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,"Installment option payment_option_764 (3 payments of EUR 324.13 starting 2025-08-03) keeps the balance above EUR 900 and completes by 2025-09-28, adding 74.78 in financing cost."
request_267,1900.47,affordable_with_plan,full_payment,2026-01-05:1925,2026-01-05,stop:event_24573,Balance comfortably covers the full EUR 1925 on 2026-01-05 while keeping at least EUR 1500 after all projected essentials. This requires spending changes: stop event_24573.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Installment option payment_option_770 (3 payments of EUR 841.22 starting 2024-06-14) keeps the balance above EUR 1400 and completes by 2024-08-15, adding 194.12 in financing cost."
request_269,0,not_affordable,not_recommended,none,,none,Requested ZAR 15490 cannot be paid within the forecast window without breaking the minimum balance of ZAR 23100; safe amount today is ZAR 0.
request_270,316.23,not_affordable,not_recommended,none,,none,Requested USD 3028.8 cannot be paid within the forecast window without breaking the minimum balance of USD 1400; safe amount today is USD 316.23.
request_271,33531.85,affordable_later,wait,2024-10-15:91300,2024-10-15,none,"Paying in full today would drop the balance below the required INR 58200. The first safe full-payment date is 2024-10-15, before the deadline of 2024-11-15."
request_272,6962741.29,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Installment option payment_option_780 (3 payments of IDR 4709466.67 starting 2025-02-12) keeps the balance above IDR 7508600 and completes by 2025-04-09, adding 1086800.02 in financing cost."
request_273,12228400,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-04-15,none,"Installment option payment_option_784 (3 payments of IDR 5498480 starting 2026-04-07) keeps the balance above IDR 18774600 and completes by 2026-06-02, adding 1268880 in financing cost."
request_274,2713.7,affordable_now,full_payment,2024-12-04:2713.7,2024-12-04,none,Balance comfortably covers the full EUR 2713.7 on 2024-12-04 while keeping at least EUR 1800 after all projected essentials.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Balance comfortably covers the full IDR 15884000 on 2025-05-06 while keeping at least IDR 12760100 after all projected essentials.
